date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:57	4740/4740	---M--	200	added ('OK')	image/jpeg	etag:%221284-5f78d5ece74d7%22	http://pear.com.ua/wp-content/uploads/2023/03/Gigaseta116-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/Gigaseta116-150x150.jpg	(from http://pear.com.ua/services__trashed/phone/)
14:43:59	56086/56086	---M--	200	added ('OK')	image/jpeg	etag:%22db16-5f78ce706b926%22	http://pear.com.ua/wp-content/uploads/2023/03/pantum6550.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/pantum6550.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:59	71793/71793	---M--	200	added ('OK')	image/jpeg	etag:%2211871-5f78cbd565063%22	http://pear.com.ua/wp-content/uploads/2023/03/epson15160.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/epson15160.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:44:00	5759/5759	---M--	200	added ('OK')	image/jpeg	etag:%22167f-5f78d7c3e36c1%22	http://pear.com.ua/wp-content/uploads/2023/03/panasonic1711-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/panasonic1711-150x150.jpg	(from http://pear.com.ua/services__trashed/phone/)
14:44:00	30572/30572	---M--	200	added ('OK')	image/jpeg	etag:%22776c-5f78d5ec8695f%22	http://pear.com.ua/wp-content/uploads/2023/03/Gigaseta116.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/Gigaseta116.jpg	(from http://pear.com.ua/services__trashed/phone/)
14:44:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2011:44:00%20GMT	http://pear.com.ua/?p=46	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/index7ea6.html	(from http://pear.com.ua/services__trashed/consumables/)
14:44:01	2973/2973	---M--	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:44:00%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fconsumables%2F	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embed0e2a.json	(from http://pear.com.ua/services__trashed/consumables/)
14:44:01	8033/8033	---MC-	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:44:00%20GMT	http://pear.com.ua/wp-json/wp/v2/pages/46	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/wp/v2/pages/46.json	(from http://pear.com.ua/services__trashed/consumables/)
14:44:02	42566/42566	---M--	200	added ('OK')	image/jpeg	etag:%22a646-5f78d7c3835f6%22	http://pear.com.ua/wp-content/uploads/2023/03/panasonic1711.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/panasonic1711.jpg	(from http://pear.com.ua/services__trashed/phone/)
14:44:02	3148/3148	---M--	200	added ('OK')	text/xml	date:Fri,%2009%20Jun%202023%2011:44:01%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fconsumables%2F&format=xml	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embedce37	(from http://pear.com.ua/services__trashed/consumables/)
